,Title,genres,poster_path,Score,Fantasy,Adventure,Documentary,Thriller,Drama,War,Romance,Family,Animation,Crime,Mystery,Western,TV Movie,Comedy,Science Fiction,Action,Horror,Music,History
1881,Playmobil: The Movie,"Family,Animation,Comedy,Adventure",/zPQzLZnfVw9fbXyxxglyOsmQBlu.jpg,0.19077920770100587,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
3105,Touchy Feely,Drama,/ngGBnTcBKHJznsI7PvFiRnp4IjC.jpg,0.19076721095165455,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2553,Song One,Drama,/a6dSJIEMxZFvQ7XJy4sf9fR0p7f.jpg,0.19075960168107703,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2896,Addicted,"Drama,Thriller",/fAERrD6vvmznDoL99wlgjhSfPcH.jpg,0.1907501946451731,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3184,Journey 2: The Mysterious Island,"Adventure,Action,Science Fiction",/hLZHJjsZ83Wfn3MRteNb6ew0WC7.jpg,0.19073441330364846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3327,In Their Skin,"Horror,Thriller",/uzkaPVmspEoz3t7JEzoUzY8PaUM.jpg,0.19072934063827113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
339,Race 3,"Thriller,Action",/wtnA5mmNumYkeevokar6IskyrZP.jpg,0.1906839650638168,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3214,Darling Companion,"Drama,Romance",/wqlUsjcu874Ja9iOpWin2APUxCj.jpg,0.19067393350444775,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2743,Jack Ryan: Shadow Recruit,"Action,Drama,Thriller",/m7HcLUodrD4lM4s0Hui1tzO2pjO.jpg,0.19062048480617264,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
851,Dabangg 2,"Action,Comedy,Crime",/11lo9arlgCOcgVPVQ025v071YpM.jpg,0.19060831756505364,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
969,Me Time,Comedy,/bkjPoisqAavXUvtoirxTEcLLQyI.jpg,0.19059571468299938,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1618,Friendsgiving,Comedy,/s9CGTv4AFmrVkgoydnYFwXPaxGx.jpg,0.19051908321492952,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2170,Lovesong,"Drama,Romance",/43yEeZbFeFOah9mZWIIJe57STKS.jpg,0.19051594711556885,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1481,Vivarium,"Science Fiction,Thriller,Mystery,Horror",/myf3qzpeN0JbuFRPwSpJcz7rmAT.jpg,0.19045047262854115,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1542,She Dies Tomorrow,Drama,/zzFftAIaCkNDt8TL4yQN8RweLrw.jpg,0.19043110768831115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,Senior Year,Comedy,/6UqbcDQhCYpxboK58Z0eVfdeHcT.jpg,0.1903735143564252,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2962,The Haunting in Connecticut 2: Ghosts of Georgia,"Horror,Drama,Thriller",/af6YNKYQsX76RSNHh3X4k2OcoQC.jpg,0.1903520406859199,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2149,Trespass Against Us,"Action,Crime,Drama",/soAl3j6UkSVycQ2TSRrMIfhMuFN.jpg,0.19022924616573159,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3099,Closed Circuit,"Mystery,Drama,Crime,Thriller",/keW2sLB9yJbdkRy9yHQjqUjmzbB.jpg,0.19019174244577147,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
770,Horror Story,Horror,/qcl0udYtSSrSsh1ThVCOdCBljph.jpg,0.19012696467093396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2719,The Night Before,"Comedy,Adventure,Fantasy",/rfeNBaiMBg0UQsBQFv1qsjTjZWn.jpg,0.19011742776910204,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
644,Gunday,"Action,Crime,Drama",/70QlykuyOHn2wO0uw2U2TqvZp10.jpg,0.19003757462619897,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2765,3 Days to Kill,"Action,Drama,Thriller",/xhSoCoiMAXa4rOM7KhFSOs3gbh7.jpg,0.19000616980091334,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2187,Atomica,"Science Fiction,Thriller",/o0fYUDBEvymij9WM3JtG1AVrgex.jpg,0.18999666699976678,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2503,Keeping Up with the Joneses,"Action,Comedy",/yvWcTrRCzE4C2hkd2wV4erPuKCn.jpg,0.1899670468452051,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2059,The Little Stranger,"Mystery,Horror",/izPtQ2relqT5LWflL7x4JLTbLxy.jpg,0.18996624250064967,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1173,In the Earth,"Horror,Science Fiction,Thriller",/lzzUkcZyHbXJayCw8yNAPezdBhq.jpg,0.1899530418607688,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2405,The Perfect Match,"Romance,Comedy",/sAiF9gKhb3gPbnp9g5nNhrfTqpL.jpg,0.18991263750627466,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2790,Alien Abduction,"Horror,Science Fiction,Thriller",/h4Ny82lizNTdTH2MFLjjyOVDWtk.jpg,0.18991128323326506,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1177,Vanquish,"Action,Crime,Thriller",/AoWY1gkcNzabh229Icboa1Ff0BM.jpg,0.18988000567044727,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2750,Android Cop,"Action,Science Fiction",/pStgVcVSMNDykydPzMTuAiXAb50.jpg,0.18985060134667237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2650,Boulevard,Drama,/pURqIgBlaYpU0gJkxyCkhSF9pri.jpg,0.18981092651115075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
