,Title,Director,Cast,id,genres,imdb_id,original_language,overview,popularity,poster_path,release_date,runtime,title,vote_average,vote_count
361,Mukkabaaz,Anurag Kashyap,"Vineet Kumar Singh, Zoya Hussain, Ravi Kishan, Jimmy Sheirgill",470641.0,"[{'id': 18, 'name': 'Drama'}]",tt7180544,hi,A low caste boxer trains at a gym controlled by a local Don. Shravan falls for Mishra's niece. The Don does not approve of this match. Shravan strives to win Sunaina's hand in marriage and become a successful boxer while trying to avoid retaliation from the Don.,2.344,/qZP2VQwx6prmTbxWyolkhl3QYDU.jpg,2018-01-12,145,Mukkabaaz,7.6,35
362,My Birthday Song,Samir Soni,"Sanjay Suri, Nora Fatehi, Pitobash",500055.0,"[{'id': 53, 'name': 'Thriller'}]",tt4335954,hi,"Rajiv Kaul, a successful ad-filmmaker, is celebrating his 40th birthday. Everything is as always: friends, food, wine, music. The only thing different is the absence of his wife and kids and the presence of a beautiful stranger, Sandy. Who is she? Why does she stare at him? Do they know each other from before?  A dangerous liaison ensues and throws Rajiv’s life upside down. Nothing is what it seems and there is no one who Rajiv can trust. Neither his wife nor his best friend, but most dangerously, not even himself.  Can Rajiv undo the past and save himself from the impending doom?  A series of twisted events blurs the fine line between past, present and future. Between what’s real and what may not be…",1.001,/2Yb3m0xxJnhWMI2WWRwiLRdJPaH.jpg,2018-01-19,95,My Birthday Song,5.5,2
363,Vodka Diaries,Kushal Srivastava,"Kay Kay Menon, Mandira Bedi, Raima Sen, Sharib Hashmi",498479.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt6275262,hi,"In the misty town of Manali, ACP Ashwini Dixit attempts to solve a series of mysterious murders happening in a single night, which might be connected to the night club, Vodka Diaries.",1.4,/zkwFas8xTRbCuGdWJxk3KfXOZQN.jpg,2018-01-19,112,Vodka Diaries,6.2,11
364,Nirdosh,Pradeep Rangwani,"Arbaaz Khan, Manjari Fadnis, Ashmit Patel, Mukul Dev, Mahek Chahal",498594.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt7723022,hi,"After a murder is committed, Shinaya Grover (Manjari Fadnis) gets arrested by the police on the basis of being the primary suspect, but as Inspector Lokhande (Arbaaz khan) carries forward the investigation of the case multiple suspects and possibilities emerge.",0.84,/iO4D1cXwQxKqsvyilHUSGqdD6G4.jpg,2018-01-19,105,Nirdosh,5.5,2
365,Union Leader,Sanjay Patel,"Rahul Bhat, Tillotama Shome",505777.0,"[{'id': 18, 'name': 'Drama'}]",tt6395306,hi,"Resigned to his fate as a worker in a notoriously shoddy chemical plant, Jay realizes that he must not only find a way to support his family, but also overcome grave social and legal injustice in the system.",0.778,/nTmxmvjZvImdORr6GgdBwWlGBcC.jpg,2017-09-17,101,Union Leader,7.2,6
366,Padmaavat,Sanjay Leela Bhansali,"Shahid Kapoor, Deepika Padukone, Ranveer Singh, Aditi Rao Hydari",432527.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",tt5935704,hi,"Rajputana, India, 13th century. The tyrannical usurper Alauddin Khilji, sultan of Delhi, becomes obsessed with Queen Padmavati, wife of King Ratan Singh of Mewar, and goes to great lengths to satisfy his greed for her.",15.046,/5kk71s8Vmvt8XQOojevhTA5QcB0.jpg,2018-01-25,164,Padmaavat,6.9,235
367,Pad Man,R. Balki,"Akshay Kumar, Sonam Kapoor, Radhika Apte",447856.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt7218518,hi,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.",8.338,/kHyoFs6BIJJwCaFlWu6P5Bnpa70.jpg,2018-02-09,140,Pad Man,7.5,177
368,Love per Square Foot,Anand Tiwari,"Vicky Kaushal, Angira Dhar, Alankrita Sahai, Raghubir Yadav",505175.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt7853242,hi,"Individually, bank employees Sanjay and Karina don't earn enough to be able to buy a home, so they decide to enter into a marriage of convenience.",9.021,/edKCIS7i4qruQ8B8sbou8scvPLe.jpg,2018-02-14,133,Love per Square Foot,6.7,103
369,Aiyaary,Neeraj Pandey,"Sidharth Malhotra, Manoj Bajpayee, Rakul Preet Singh, Pooja Chopra, Anupam Kher, Naseeruddin Shah",493620.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt6774212,hi,An Indian Army officer is compelled to chase down his protege when the latter turns rogue and threatens to disrupt the country’s government and army.,4.18,/1lfpxWPKRN9GOCdad5XhdxWuS3U.jpg,2018-02-16,157,Aiyaary,5.7,43
370,Kuchh Bheege Alfaaz,Onir,"Zain Khan Durrani, Geetanjali Thapa",527851.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",tt7617988,hi,"Every night at 10, Kolkata tunes into radio to listen to 'Kuchh Bheege Alfaaz' - an episodic series of unrequited love stories hosted by RJ Alfaz who, despite his tremendous following, prefers staying detached and anonymous. Among his many fans is the boisterous Archana, a girl working at a creative agency – which designs branded memes. She is leukodermic but lives life to the fullest. They meet; or rather talk, for the first time over a misplaced call, when Archana accidentally dials Alfaaz's number, while trying to connect with her latest blind date. Thus begins an interesting relationship between two unlikely characters, one overly compensating, but in denial of her present, and the other buried under a dark secret of his past.",0.641,/25cv2bdc4IIIcMWdFiHC0uEy0eI.jpg,2018-02-16,116,Kuchh Bheege Alfaaz,7.4,8
371,Jaane Kyun De Yaaron,Akshay Anand,"Raghu Raja, Abhishek Sharma, Kabir Bedi, Chetna Pande, Viju Khote",566740.0,"[{'id': 18, 'name': 'Drama'}]",tt7720254,hi,Two boys with the dreams to change their ordinary lives change the entire corruption system as they take a stand against police brutality with the little help of a benevolent guardian.,0.6,/5SOYgKRmGE1ychsHOct1uUhdHSU.jpg,2018-02-16,211,Jaane kyun de yaaron,0.0,0
372,Sonu Ke Titu Ki Sweety,Luv Ranjan,"Kartik Aaryan, Nushrat Bharucha, Sunny Nijar",498598.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",tt7581902,hi,Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romace.,5.639,/1nsVHEVKOag8syzGtqnlYlbMQdh.jpg,2018-02-23,144,Sonu Ke Titu Ki Sweety,6.6,84
373,Veerey Ki Wedding,Ashu Trikha,"Pulkit Samrat, Jimmy Sheirgill, Kriti Kharbanda, Satish Kaushik, Yuvika Chaudhary, Supriya Karnik",508287.0,"[{'id': 35, 'name': 'Comedy'}]",tt7262178,hi,"What happens when the most eligible bachelor in Delhi, Veerey messes up his first meeting with the father of his beloved? The most fatal blow to the loved-up couple: NO blessing from the father-in-law! Not helping the matter further, is Veerey's elder cousin brother, Balli, who threatens the would-be in-laws with dire consequences if anyone dares to break Veerey's heart.",1.848,/dobloRJHFJWAASM14xugMbtXlYY.jpg,2018-03-02,131,Veerey Ki Wedding,4.8,4
374,Hate Story IV,Vishal Pandya,"Urvashi Rautela, Vivan Bhatena, Karan Wahi, Ihana Dhillon, Gulshan Grover, Tia Bajpai, Shaad Randhawa",501192.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",tt5325684,hi,"Tasha, who aspires to make it big in life, catches the eye of two womanising brothers, who promise to make her a star. Yet her hidden intentions may prove deadly for the duo.",3.589,/7mI6YgCVFfKDSlSDN8MuSY8oCFJ.jpg,2018-03-09,131,Hate Story IV,6.9,9
375,Dil Juunglee,Aleya Sen,"Saqib Saleem, Tapsee Pannu, Abhilash Thapleyal, Nidhi Singh, Srishti Srivastava, Ayesha Khaduskar",510404.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt6071752,hi,"Koroli Nair, the sole child of a London based business tycoon, settles in Delhi to fulfil her ‘pursuit of happiness’. Much to her dad’s disappointment,she has no interest in upgrading herself as an entrepreneur & wants to settle down with a man and be a mother to her future kids. She teaches English at the British Council in New Delhi which makes her feel content & satisfied in her own way.",1.4,/4OtuY5NrbKiqrktG98Iet5AcjYp.jpg,2018-03-09,124,Dil Juunglee,7.0,5
376,3 Storeys,Arjun Mukerjee,"Richa Chaddha, Pulkit Samrat, Sharman Joshi, Renuka Shahane, Masumeh Makhija, Laksh Singh, Aisha Ahmed, Ankit Rathi",494211.0,"[{'id': 18, 'name': 'Drama'}]",tt4552546,hi,"3 Storeys is an 2018 Hindi thriller drama film directed by Arjun Mukerjee starring Richa Chadda, Pulkit Samrat, Sharman Joshi, Sunny Nijar, Ankit Rathi, Aisha Ahmed and produced by Priya Sreedharan, Ritesh Sidhwani and Farhan Akhtar. 3 Storeys is an intriguing film full of twists and turns. Over the course of 3 acts, dark secrets and past regrets are revealed, and it becomes clear that life in this small community is not quite what it seems.",0.755,/fe559eR3pQEDIVQ6m7CKxQNM8UV.jpg,2018-03-09,100,3 Storeys,7.0,4
377,Raid,Raj Kumar Gupta,"Ajay Devgn, Ileana D'Cruz, Saurabh Shukla",503838.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",tt7363076,hi,An incorruptible IT officer Amay Patnaik (Ajay Devgn) gets an anonymous tip about a political leader Tauji’s (Saurabh Shukla) illegal assets. Patnaik plans an elaborate Raid on Tauji’s home and businesses.,7.293,/qx3m9mRUmDZUVQeAe7CAzFX7xCB.jpg,2018-03-16,128,Raid,7.1,79
378,Hichki,Siddharth P Malhotra,Rani Mukerji,493623.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",tt6588966,hi,Hichki presents a positive and inspiring story about a woman who turns her biggest weakness into her biggest strength.,10.636,/awN7MPVHcubWEqfo7T5jidx3xYY.jpg,2018-03-23,116,Hichki,7.5,113
